Point Name,Volttron Point Name,Units,Unit Details,BACnet Object Type,Property,Writable,Index,Notes
RM2_RC2_AUTO_CNTRL,RC_AUTO_CNTRL,Enum,0-1 (default 0),binaryOutput,presentValue,TRUE,6,"Room 2 - Radiant Cubicle 2 - Auto Control (0 - Off, 1- On)"
RM2_RC2_SP,RC_TSP,celcius,(default 25),analogOutput,presentValue,TRUE,3,"Room 2 - Radiant Cubicle 2 - Surface Temperature Setpoint (20-30)"
RM2_RC2_CCE,RC_CCE,Watts,,analogInput,presentValue,FALSE,8,"Room 2 - Radiant Cubicle 2 - Calculated Cooling Energy (Watts)"
